month_num,month_name,orders,sales,profit,margin
1,January,35,6607761.69,874544.94,0.1324
2,February,35,7297531.39,1178511.14,0.1615
3,March,35,5586859.87,682158.12,0.1221
4,April,35,6964775.08,955825.83,0.1372
5,May,35,6210211.06,885455.06,0.1426
6,June,70,9518893.82,1509371.32,0.1586
7,July,35,8102920.19,941573.19,0.1162
8,August,35,5864622.42,852955.17,0.1454
9,September,70,10882697.27,1881340.27,0.1729
10,October,140,21671431.02,3559368.52,0.1642
11,November,70,12651417.5,1501140.0,0.1187
12,December,105,17367228.98,2848779.98,0.164
